id_number,long_name,tank_number,treatment,date_time,date,time,inflow_table,date_string,time_string,date_time_string,nutrient,conc,conc_norm,inflow
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.7840407865,-0.22051147149999994,1.004552258
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.7588924581,0.2134516395999999,0.5454408185
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.62651265626,-0.54451269243,1.17102534869
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,2.095,0.8250000000000002,1.27
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.07915338049,-0.01982127082,0.09897465131
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,0,0.077
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.878276458,-0.12627579999999994,1.004552258
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,1.012192888,0.4667520694999999,0.5454408185
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,2.01584661951,0.84482127082,1.17102534869
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,1.071,-0.19900000000000007,1.27
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.1082596984,0.009285047090000012,0.09897465131
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.1006497578,0.023649757800000004,0.077
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.8952388789,-0.10931337909999994,1.004552258
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.4582610822,-0.08717973630000003,0.5454408185
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.9627403015999999,-0.20828504709000006,1.17102534869
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.746,-0.399,1.145
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.1199153959,0.026011302240000006,0.09390409366
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.1320856665,0.04792519122000001,0.08416047528
