id_number,long_name,tank_number,treatment,date_time,date,time,inflow_table,date_string,time_string,date_time_string,nutrient,conc,conc_norm,inflow,quant1,quant3,IQR,outlier
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.1320856665,0.04792519122000001,0.08416047528,-0.007160475279999995,0.011981297805000003,0.019141773084999997,outlier
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.9743968429,-0.2845917281,1.258988571,-0.33170956382499994,0.23134857325000002,0.563058137075,not outlier
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.5382108693,0.11509070299999996,0.4231201663,0.08154710142500005,0.43066537512499997,0.3491182736999999,not outlier
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.6260846041,-0.42501130224000006,1.05109590634,-0.6254673150400001,-0.31012348492749997,0.3153438301125001,not outlier
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.982,-0.16300000000000003,1.145,-0.3385,0.08400000000000002,0.42250000000000004,not outlier
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.131175985,0.03727189134,0.09390409366,-0.008017407714999994,0.01628175815250001,0.024299165867500003,not outlier
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,-0.007160475279999995,0.08416047528,-0.007160475279999995,0.005912439450000001,0.013072914729999996,not outlier
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,2.052452924,0.7934643529999998,1.258988571,-0.40695399274999994,0.116381053925,0.523335046675,not outlier
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,1.110133478,0.6870133117000001,0.4231201663,0.319252698525,0.5218173800499999,0.2025646815249999,not outlier
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.8508240149999999,-0.20027189134000012,1.05109590634,-0.34444308864750006,0.06100139919999992,0.4054444878475,not outlier
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,1.587,0.44199999999999995,1.145,-0.3085,-0.01849999999999996,0.29000000000000004,outlier
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.01,-0.08390409366,0.09390409366,-0.08517173307249999,-0.0665498971375,0.018621835934999997,not outlier
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,-0.007160475279999995,0.08416047528,-0.007160475279999995,0,0.007160475279999995,not outlier
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.01,-1.248988571,1.258988571,-1.248988571,-0.7576547987875,0.49133377221249996,not outlier
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,2.151750578,1.7286304117000002,0.4231201663,0.32398158969999996,0.7667739435250001,0.4427923538250001,outlier
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,1.577,0.5259040936599999,1.05109590634,-0.24195010286250002,0.06920701189750006,0.3111571147600001,not outlier
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.539,-0.606,1.145,-0.61475,-0.28375,0.331,not outlier
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.1063500079,0.012445914240000008,0.09390409366,0.010717315040000008,0.026373484927500003,0.015656169887499995,not outlier
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,-0.007160475279999995,0.08416047528,-0.007160475279999995,0.011981297805000003,0.019141773084999997,not outlier
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,1.551119152,0.2921305810000001,1.258988571,-0.33170956382499994,0.23134857325000002,0.563058137075,not outlier
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.4633052328,0.04018506650000003,0.4231201663,0.08154710142500005,0.43066537512499997,0.3491182736999999,not outlier
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.43264999210000005,-0.6184459142400001,1.05109590634,-0.6254673150400001,-0.31012348492749997,0.3153438301125001,not outlier
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.92,-0.22499999999999998,1.145,-0.3085,-0.01849999999999996,0.29000000000000004,not outlier
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.01,-0.08390409366,0.09390409366,-0.08517173307249999,-0.0665498971375,0.018621835934999997,not outlier
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,-0.007160475279999995,0.08416047528,-0.007160475279999995,0,0.007160475279999995,not outlier
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.01,-1.248988571,1.258988571,-1.248988571,-0.7576547987875,0.49133377221249996,not outlier
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.8692752871,0.4461551208,0.4231201663,0.32398158969999996,0.7667739435250001,0.4427923538250001,not outlier
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.91,-0.14109590634000002,1.05109590634,-0.24195010286250002,0.06920701189750006,0.3111571147600001,not outlier
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.443,-0.702,1.145,-0.8732499999999999,-0.6795,0.19374999999999987,not outlier
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.01,-0.08390409366,0.09390409366,-0.08517173307249999,-0.06819618209,0.01697555098249999,not outlier
