id_number,long_name,tank_number,treatment,date,time,inflow_table,date_time,date_string,time_string,date_time_string,run_number,N_N,NO2,PO4,SiO2,NH3,NO3
MOBEAST039,MOBEAST_T1_A_2024-06-03_0000,T1,Algae,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03T00:00:00Z,1,0.746,0.1403951807,0.08601166293,0.0904662446,1.229175433,0.6056048193
MOBEAST040,MOBEAST_T2_R_2024-06-03_0000,T2,CCA,2024-06-03,00:00:00,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03T00:00:00Z,1,1.07,0.1037818034,0.1237210409,0.01,0.8137055613,0.9662181966000001
MOBEAST041,MOBEAST_T3_C_2024-06-03_0000,T3,Control,2024-06-03,00:00:00,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03T00:00:00Z,1,2.291,0.2416087796,0.1219384157,0.3034388621,6.178327865,2.0493912204
MOBEAST042,MOBEAST_T4_A_2024-06-03_0000,T4,Algae,2024-06-03,00:00:00,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03T00:00:00Z,1,0.911,0.07460963402,0.1474436677,0.2563210264,0.7314018373,0.83639036598
MOBEAST043,MOBEAST_T5_R_2024-06-03_0000,T5,CCA,2024-06-03,00:00:00,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03T00:00:00Z,1,1.108,0.185766794,0.077,0.04900254916,2.264655482,0.922233206
MOBEAST044,MOBEAST_T6_K_2024-06-03_0000,T6,Coral,2024-06-03,00:00:00,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03T00:00:00Z,1,0.922,0.1841863604,0.09797582011,0.04711783573,1.060700802,0.7378136396
MOBEAST045,MOBEAST_T7_K_2024-06-03_0000,T7,Coral,2024-06-03,00:00:00,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03T00:00:00Z,1,0.516,0.1396049639,0.1391476046,0.01,0.85876664,0.3763950361
MOBEAST046,MOBEAST_T8_C_2024-06-03_0000,T8,Control,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03T00:00:00Z,1,1.644,0.2637348493,0.1527229806,0.2506668861,1.783443515,1.3802651506999999
MOBEAST047,MOBEAST_T9_K_2024-06-03_0000,T9,Coral,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03T00:00:00Z,1,1.284,0.2676200818,0.1043178518,0.2845917278,2.552256136,1.0163799182
MOBEAST048,MOBEAST_T10_R_2024-06-03_0000,T10,CCA,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03T00:00:00Z,1,1.821,0.2442428355,0.1335254791,0.2393586055,1.468436309,1.5767571645
MOBEAST049,MOBEAST_T11_C_2024-06-03_0000,T11,Control,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03T00:00:00Z,1,1.869,0.3125965867,0.09389635104,0.4278299484,1.200507843,1.5564034133
MOBEAST050,MOBEAST_T12_R_2024-06-03_0000,T12,CCA,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03T00:00:00Z,1,1.312,0.2582691833,0.1419586673,0.2186267578,1.906688928,1.0537308167000001
MOBEAST051,MOBEAST_T13_A_2024-06-03_0000,T13,Algae,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03T00:00:00Z,1,1.551,0.6708281922,0.08038953749,0.1828172026,1.358221619,0.8801718077999999
MOBEAST052,MOBEAST_T14_A_2024-06-03_0000,T14,Algae,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03T00:00:00Z,1,1.408,0.01,0.1251608535,0.373173259,2.674660857,1.398
MOBEAST053,MOBEAST_T15_C_2024-06-03_0000,T15,Control,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03T00:00:00Z,1,1.567,0.4095956961,0.1292403225,0.333594277,3.106776425,1.1574043039
MOBEAST054,MOBEAST_T16_K_2024-06-03_0000,T16,Coral,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03T00:00:00Z,1,2.062,0.4472626958,0.1772683575,0.3769426858,2.058938207,1.6147373041999997
MOBEAST055,MOBEAST_F1_Inflow_2024-06-03_0600,F1,Inflow,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03T06:00:00Z,1,1.632,0.5711291755,0.2017794532,0.5559904616,20.20552221,1.0608708244999998
MOBEAST056,MOBEAST_F2_Inflow_2024-06-03_0600,F2,Inflow,2024-06-03,06:00:00,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03T06:00:00Z,1,0.593,0.8064820723,0.077,0.6389178525,3.328466844,-0.21348207230000005
MOBEAST057,MOBEAST_T1_A_2024-06-03_0600,T1,Algae,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03T06:00:00Z,1,0.732,0.31463798,0.1270463224,0.6276095719,2.610684213,0.41736202
MOBEAST058,MOBEAST_T2_R_2024-06-03_0600,T2,CCA,2024-06-03,06:00:00,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03T06:00:00Z,1,0.418,0.3453247315,0.141924386,0.2600904532,3.806904529,0.0726752685
MOBEAST059,MOBEAST_T3_C_2024-06-03_0600,T3,Control,2024-06-03,06:00:00,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03T06:00:00Z,1,1.501,0.6622016591,0.1634187314,0.1922407698,20.02477348,0.8387983408999999
MOBEAST060,MOBEAST_T4_A_2024-06-03_0600,T4,Algae,2024-06-03,06:00:00,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03T06:00:00Z,1,0.178,0.09746006916,0.077,0.7105369628,2.291137273,0.08053993084
MOBEAST061,MOBEAST_T5_R_2024-06-03_0600,T5,CCA,2024-06-03,06:00:00,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03T06:00:00Z,2,0.71,0.01,0.077,0.05,0.26,0.7
MOBEAST062,MOBEAST_T6_K_2024-06-03_0600,T6,Coral,2024-06-03,06:00:00,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03T06:00:00Z,2,1.56,0.01,0.08,0.11,0.6,1.55
MOBEAST063,MOBEAST_T7_K_2024-06-03_0600,T7,Coral,2024-06-03,06:00:00,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03T06:00:00Z,2,0.42,0.01,0.11,0.09,0.085,0.41
MOBEAST064,MOBEAST_T8_C_2024-06-03_0600,T8,Control,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03T06:00:00Z,2,0.83,0.08,0.1,0.21,0.44,0.75
MOBEAST065,MOBEAST_T9_K_2024-06-03_0600,T9,Coral,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03T06:00:00Z,2,0.48,0.01,0.09,0.12,0.19,0.47
MOBEAST066,MOBEAST_T10_R_2024-06-03_0600,T10,CCA,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03T06:00:00Z,2,0.6,0.01,0.1,0.05,0.21,0.59
MOBEAST067,MOBEAST_T11_C_2024-06-03_0600,T11,Control,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03T06:00:00Z,2,0.56,0.07,0.09,0.14,0.15,0.49000000000000005
MOBEAST068,MOBEAST_T12_R_2024-06-03_0600,T12,CCA,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03T06:00:00Z,2,0.54,0.01,0.077,0.01,0.29,0.53
MOBEAST069,MOBEAST_T13_A_2024-06-03_0600,T13,Algae,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03T06:00:00Z,2,0.24,0.01,0.077,0.01,0.085,0.22999999999999998
MOBEAST070,MOBEAST_T14_A_2024-06-03_0600,T14,Algae,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03T06:00:00Z,2,0.26,0.01,0.08,0.01,0.085,0.25
MOBEAST071,MOBEAST_T15_C_2024-06-03_0600,T15,Control,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03T06:00:00Z,2,1.28,0.01,0.1,0.01,0.38,1.27
MOBEAST072,MOBEAST_T16_K_2024-06-03_0600,T16,Coral,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03T06:00:00Z,2,0.74,0.01,0.11,0.01,0.22,0.73
MOBEAST073,MOBEAST_F1_Inflow_2024-06-04_1200,F1,Inflow,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,0.92,0.12,0.12,0.01,0.3,0.8
MOBEAST074,MOBEAST_F2_Inflow_2024-06-04_1200,F2,Inflow,2024-06-04,12:00:00,Table 2,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,1.1,0.13,0.077,0.01,0.62,0.9700000000000001
MOBEAST075,MOBEAST_T1_A_2024-06-04_1200,T1,Algae,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,0.71,0.07,0.077,0.01,0.43,0.6399999999999999
MOBEAST076,MOBEAST_T2_R_2024-06-04_1200,T2,CCA,2024-06-04,12:00:00,Table 2,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,0.63,0.01,0.09,0.01,0.33,0.62
MOBEAST077,MOBEAST_T3_C_2024-06-04_1200,T3,Control,2024-06-04,12:00:00,Table 2,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,0.89,0.09,0.19,0.01,1.37,0.8
MOBEAST078,MOBEAST_T4_A_2024-06-04_1200,T4,Algae,2024-06-04,12:00:00,Table 2,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,6.28,0.01,0.09,0.56,3.94,6.2700000000000005
MOBEAST079,MOBEAST_T5_R_2024-06-04_1200,T5,CCA,2024-06-04,12:00:00,Table 2,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,1.45,0.09,0.07,0.01,2.46,1.3599999999999999
MOBEAST080,MOBEAST_T6_K_2024-06-04_1200,T6,Coral,2024-06-04,12:00:00,Table 2,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,1.64,0.08,0.09,0.01,0.65,1.5599999999999998
MOBEAST081,MOBEAST_T7_K_2024-06-04_1200,T7,Coral,2024-06-04,12:00:00,Table 2,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,3.25,0.08,0.11,0.01,0.77,3.17
MOBEAST082,MOBEAST_T8_C_2024-06-04_1200,T8,Control,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,1.19,0.13,0.09,0.01,0.89,1.06
MOBEAST083,MOBEAST_T9_K_2024-06-04_1200,T9,Coral,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,0.81,0.11,0.09,0.01,0.37,0.7000000000000001
MOBEAST084,MOBEAST_T10_R_2024-06-04_1200,T10,CCA,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,1.01,0.1,0.12,0.01,0.54,0.91
MOBEAST085,MOBEAST_T11_C_2024-06-04_1200,T11,Control,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,2.62,0.12,0.1,0.01,0.66,2.5
MOBEAST086,MOBEAST_T12_R_2024-06-04_1200,T12,CCA,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,0.82,0.1,0.077,0.01,0.43,0.72
MOBEAST087,MOBEAST_T13_A_2024-06-04_1200,T13,Algae,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,0.31,0.01,0.077,0.01,0.26,0.3
MOBEAST088,MOBEAST_T14_A_2024-06-04_1200,T14,Algae,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,1.07,0.01,0.08,0.01,0.61,1.06
MOBEAST089,MOBEAST_T15_C_2024-06-04_1200,T15,Control,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,1.57,0.01,0.09,0.01,1.25,1.56
MOBEAST090,MOBEAST_T16_K_2024-06-04_1200,T16,Coral,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,1.11,0.08,0.09,0.01,0.32,1.03
MOBEAST091,MOBEAST_F1_Inflow_2024-06-06_1200,F1,Inflow,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,1.84,0.09,0.08,0.01,1.22,1.75
MOBEAST092,MOBEAST_F2_Inflow_2024-06-06_1200,F2,Inflow,2024-06-06,12:00:00,Table 2,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,1.58,0.1,0.09,0.01,1.23,1.48
MOBEAST093,MOBEAST_T1_A_2024-06-06_1200,T1,Algae,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,1.95,0.09,0.077,0.01,1.56,1.8599999999999999
MOBEAST094,MOBEAST_T2_R_2024-06-06_1200,T2,CCA,2024-06-06,12:00:00,Table 2,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,1.46,0.01,0.13,0.01,1.16,1.45
MOBEAST095,MOBEAST_T3_C_2024-06-06_1200,T3,Control,2024-06-06,12:00:00,Table 2,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,1.37,0.01,0.09,0.01,1.31,1.36
MOBEAST096,MOBEAST_T4_A_2024-06-06_1200,T4,Algae,2024-06-06,12:00:00,Table 2,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,1.66,0.01,0.07,0.01,3.13,1.65
MOBEAST097,MOBEAST_T5_R_2024-06-06_1200,T5,CCA,2024-06-06,12:00:00,Table 2,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,1.8,0.08,0.077,0.01,1.37,1.72
MOBEAST098,MOBEAST_T6_K_2024-06-06_1200,T6,Coral,2024-06-06,12:00:00,Table 2,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,1.52,0.01,0.11,0.01,1.11,1.51
MOBEAST099,MOBEAST_T7_K_2024-06-06_1200,T7,Coral,2024-06-06,12:00:00,Table 2,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,1.55,0.08,0.1,0.01,1.13,1.47
MOBEAST100,MOBEAST_T8_C_2024-06-06_1200,T8,Control,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,1.6,0.1,0.07,0.01,1.24,1.5
MOBEAST101,MOBEAST_T9_K_2024-06-06_1200,T9,Coral,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,1.97,0.09,0.12,0.04,1.35,1.88
MOBEAST102,MOBEAST_T10_R_2024-06-06_1200,T10,CCA,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,1.55,0.08,0.1,0.05,1.31,1.47
MOBEAST103,MOBEAST_T11_C_2024-06-06_1200,T11,Control,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,1.66,0.09,0.09,0.21,1.33,1.5699999999999998
MOBEAST104,MOBEAST_T12_R_2024-06-06_1200,T12,CCA,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,1.21,0.01,0.11,0.01,1.4,1.2
