"UniqueID","CobleA","CobleB","CobleC","CobleM","CobleT","Fpeak","Stedmon_D","Optical_Brighteners","dieselBandII","Petroleum","Lignin","BIX","HIX","FI","M_to_C","JP5_empirical","JP5_normalized","Diesel_Chen","sample","run_name"
"TAU824018",0.0157803548417654,0.0386404988684257,0.0160963391442165,0.0205563614279303,0.0112079668358082,0,0.00706473843557024,0.011925382952793,0.00546032502011196,0.0137444826623817,0.00588079962633358,0.79085797382704,2.18046155717003,1.70329816443633,0.783034449002544,0.983358963626836,0.0480261518269403,5.10789531619491,"Group003Sample0005","run6"
"TAU824019",0.0387853054987184,0.036689887483652,0.0363287438869181,0.0363286870813813,0.028974333556387,0.00421244443800027,0.0210023719497773,0.029067241995693,0.0156773253162989,0.0431912097398957,0.031129000592364,0.562421769352688,3.13827870458637,1.54928545721545,1.0000015636551,1.61565277681636,0.0351633645966232,9.47473630280416,"Group003Sample0006","run6"
"TAU824020",0.0130832496664272,0.0433033866630556,0.0133268267504157,0.015133283939554,0.0190170594398485,0,0.00542162206727747,0.0102992729955435,0.00428451300738918,0.0122148514988834,0.00415650000787556,0.830134577433246,1.3047313915427,1.85600115355023,0.880630192603686,1.43480989871704,0.0806476134680441,5.31324330652554,"Group003Sample0007","run6"
"TAU824021",0.0124232971830485,0.0285086604223881,0.0125646977990052,0.0157230396770071,0.0850505677126685,0.012715157303005,0.00627634815370662,0.00929652586912049,0.0046016909472414,0.0147152052797679,0.0605144663002244,1.12449731033829,0.635394381745255,1.55064465326109,0.799126508430776,3.12065239920748,0.140362419471585,9.53215903245197,"Group004Sample0001","run6"
"TAU824022",0.00839723318316078,0.0369384015625207,0.0092571398189679,0.0103401479684153,0.0192008273487047,0.0378006999358693,0.00503035142381795,0.00753956747453626,0.00391707216001566,0.0115044753433133,0,0.856920202026499,0.978776850266208,1.57199656362471,0.895261832542871,1.24626553450022,0.0941846199917649,4.70745634818118,"Group004Sample0002","run6"
"TAU824023",0.00873974385387168,0.0259650844064145,0.0102940967164697,0.00923364199133099,0.0204411287949592,0.011333247249604,0.00646985793044089,0.00917522594978239,0.00421088721386323,0.0145253161850342,0.0130019627378448,0.900833986304482,1.66288360092833,1.48627103732926,1.11484685307643,1.17603749885871,0.0877006370729602,3.85586717872856,"Group004Sample0003","run6"
"TAU824024",0.0142552795384347,0.031586545882276,0.0155017847762838,0.0165510948050636,0.0288943462865224,0.0262970821702661,0.00877607944585467,0.0133082465493632,0.00813789059521178,0.0174676246820542,0,0.879218321614476,1.52554175833183,1.48248255329418,0.936601775221612,1.66205974898903,0.0807772450374502,5.61094694420107,"Group004Sample0004","run6"
"TAU824025",0.00979906772403677,0.0390640420494483,0.0102479535819633,0.0123215838632346,0.0583863690895339,0.0264362151343282,0.00405494256211793,0.0067305274265717,0.00392341601102581,0.00980733109197069,0.0256295639190136,1.07873740938064,0.630607344392731,1.45942699916016,0.831707489533174,2.61722010241869,0.153678663757317,7.5610130984136,"Group004Sample0005","run6"
"TAU824026",0.00516053239323001,0.0434095024935262,0.00566996130803829,0.00749476918046681,0.0235635312830012,0.0383762514149448,0.00246453718047264,0.00431041105781154,0.00148331703280344,0.00717906975119966,0.0106281445778557,0.986001431523832,0.549369295249911,1.49604303112922,0.756522472075002,1.59358530346005,0.161821350476533,4.59247127612741,"Group004Sample0006","run6"
"TAU824027",0.0151846616620395,0.0267384246360747,0.0153717615037933,0.0144832472290302,0.0221443939112727,0.0241158210232518,0.00908563293016626,0.011580569010645,0.00668459028143288,0.0201852021819676,0.0212462274997259,0.691816033757677,1.55618218560953,1.51275154515279,1.06134772545912,1.2463716704309,0.0621766338894488,5.32485665227712,"Group004Sample0007","run6"
