"X","X500","X495","X490","X485","X480","X475","X470","X465","X460","X455","X450","X445","X440","X435","X430","X425","X420","X415","X410","X405","X400","X395","X390","X385","X380","X375","X370","X365","X360","X355","X350","X345","X340","X335","X330","X325","X320","X315","X310","X305","X300","X295","X290","X285","X280","X275","X270","X265","X260","X255","X250","X245","X240","UniqueID"
749.058,0,0,0,9.35202274826314e-05,1.08280913849669e-05,0,0.000185927843317142,0,0.000126412646899733,0,0,5.22195551082924e-05,0,0,0,0,0,0,0.000215135083358199,0,0,6.79869405609366e-07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
753.808,0.000354269347180341,0.00062785933973628,0.000298075439086977,0.00058894119157929,4.25127316220267e-05,0.000120243673397651,0.000203730030531364,0.000357394788238525,0,0.000691315505350734,0.000778731825348379,0.00099457239551336,0.000805925394837562,0.00046961426700308,0.000622155079710291,0.000527807515983605,0.000363640922687655,0.000659928524266153,0.000811196123771262,0.000257604511214915,0.000643978997135741,0.00105822226939688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
758.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000227109031428353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
763.31,0,0,0,0.000167912701535289,0,0,1.12533224357793e-05,2.41413773684781e-05,0,0.000183591165975313,0.00025251024647059,0,0,0,0,0,0,0,9.10316255560974e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
768.062,0.00106265382071372,0.000316045040584455,0,0.000249366659548283,0.000538569015147932,0.00036859489378028,0.000546770265642929,6.91795297799006e-05,0.000136709375852522,0.000449060721411468,0.000175257485217312,0.000148808757303041,0.000765029323975203,0,0.000753805757500985,0.000541597410130411,0.000243577238799911,0.000262319690029558,0.000689585658479048,3.4648815264317e-05,0.000412810687842761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
772.815,0.000118485137861377,0,0,0.000239089334301006,0.000560623952806274,0.00033746018845612,0.000829876257079502,0.000527056477648893,9.77517651328126e-05,0.00054842252007773,0.000359496707019984,0.000413004205863284,0.00097779668549499,0.000934610317296192,0,0.000301169568915658,0.000952332018582149,0.000500023411094715,0.000663271066613123,0,0.000726113596621127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
777.57,0,0,0.000316099615533578,0.000252022825652791,0.000443019754050153,0.000466481610887366,0.0002283624887449,0.00033798262334847,3.84232083881349e-05,5.6451626781436e-05,0.000648094852084718,0.000154899192944871,2.16393435377974e-05,0,0.000440622460848685,0.000289450636057645,0.00100023921886034,0,0.00040044140602915,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
782.325,0,0,0.000209153208442581,0,0.000323739632083542,0.000152663540571385,5.72904975156622e-05,0.000378134202497788,0.000156084606965369,0,0,0.000206105234132968,0,0.000499899059776387,0.000474118001175822,2.3748606364614e-06,0,0,0.000356268005969463,0.00041454165196915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
787.081,0.000229002568508509,0.000910913762876091,0,0,0,2.08446138402436e-05,5.76959226230039e-05,5.44499805923801e-05,0,0.000133577469900291,0.000355468093678901,0.000198875400797784,0.000120606703307181,0,0.000162152621718793,0,0.000405087409106198,0.000742077151633281,2.79829582805622e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
791.838,0,0,0,0,0,0,3.50610877901178e-05,0,6.1505023453302e-05,0,0,0,0,0,0.000112902841967468,0,0.000344963310229725,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
796.596,0,0,0,0.000148703753494412,0,0,0,0.000235557661117223,0,3.13207170588435e-05,0,0,0,0.00022978106220378,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
801.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
806.114,0,0,0,8.80686175759717e-05,0,0.000103528709588238,7.63718860588484e-05,6.27340020041788e-05,0,6.83381369515667e-05,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
810.875,0,0,0,0,0.000234124880492207,0.000117377686639293,0,0.000307709857353044,0.0003428038964284,0.000281614570548358,0,0.000322316899125587,0.000439852094417068,0.000204521091668449,0,0.000502488233294325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
815.635,0.000289116784058516,0,0.00013801664457722,0,0,0,0,0,0,0,0.000176771268882469,0.000386707073261989,0,0.000148651148385763,0.000571784775624948,2.68264478593482e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
820.397,0.000616841639898574,0.000323770873658628,0,0.000844786693096403,0,0,0.00037516072941103,2.50455237937995e-05,0.000115267278698841,0,0.000125351925281314,0.000206927585896354,0.000270472119779858,0.000321394125928062,0.000250287697989554,0.000263376704775742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
