id_number,long_name,tank_number,treatment,inflow_table,date_time,date,time,fdom,fdom_conc,fdom_alt_name,fdom_cat,fdom_conc_norm,inflow
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,fi,2.06276625464932,Fluvic Acid,Humic,0.47256428178063015,1.59020197286869
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,lignin,0.0590873668425802,lignin,Other,0.0368850594077853,0.0222023074347949
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_a,0.0116062673467997,UV-Humic,Humic,0.00446220268958808,0.00714406465721162
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_b,0.0497155458912274,Tyrosine,Proteinaceous,0.011106462906885599,0.0386090829843418
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_c,0.0107713771411973,Visible-Humic,Humic,0.0072367491076375,0.0035346280335598
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_m,0.0131371632353457,Marine Humic,Humic,0.00484140780896032,0.00829575542638538
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_t,0.0554571313831756,Tryptophan,Proteinaceous,0.0068565613244677,0.0486005700587079
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,m_to_c,0.819916518371092,m_to_c,Humic,0.39383982590766603,0.426076692463426
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,bix,0.700776730184215,bix,Humic,0.196044689878617,0.504732040305598
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,hix,0.519895191089651,hix,Humic,0.10974381604545397,0.410151375044197
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,fpeak,0.0371130699600357,Phenylalanine,Proteinaceous,0.0015109734397691019,0.0356020965202666
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,fi,1.53329445553414,Fluvic Acid,Humic,-0.05690751733455013,1.59020197286869
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,lignin,0,lignin,Other,-0.0222023074347949,0.0222023074347949
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_a,0.00717105420229528,UV-Humic,Humic,2.6989545083660332e-5,0.00714406465721162
