id_number,long_name,tank_number,treatment,date,time,date_time,coble_a,coble_b,coble_c,coble_m,coble_t,m_to_c,bix,hix,fpeak,fi,lignin,sample_type
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,Rubble,2024-06-02,12:00:00,2024-06-02 12:00:00,0.0140560833208588,0.115350395723193,0.0138919790691301,0.0177052162128734,0.124981027434106,0.784626344129553,1.24925873073452,0.424770517458587,0.0234575188521866,1.73154396161244,0.0428925227366005,Rubble
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02,12:00:00,2024-06-02 12:00:00,0.00750110105193647,0.0972355188788325,0.00564404411734511,0.00992694606999149,0.0509745536836426,0.5685579510104,0.733114045230646,0.359597459053439,0.0590826242399302,1.58404903139874,0.0657701377214272,Control
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,Rubble,2024-06-02,12:00:00,2024-06-02 12:00:00,0.00948804592163324,0.0749340224715442,0.00833042097620901,0.0126183931829246,0.078065955984034,0.660180805546767,0.944285354233396,0.391295854917208,0.0273413895893612,1.94209267508987,0.0170722741122036,Rubble
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,Algae,2024-06-02,12:00:00,2024-06-02 12:00:00,0.00738998503967228,0.058685255133585,0.00615924295614916,0.0105637061371612,0.042623952288802,0.583057013909358,0.777906900137856,0.472304485253445,0.0448037314231628,1.63228408745114,0.00892263746737693,Algae
MOBEAST016,MOBEAST_T14_A_2024-06-02_1200,T14,Algae,2024-06-02,12:00:00,2024-06-02 12:00:00,0.00743894444774409,0.0658055402860172,0.00634989799780759,0.0100601172200111,0.0554171072697345,0.631195229532383,0.748218237465348,0.39976011414311,0.0490121878650638,1.91119264324408,0,Algae
MOBEAST017,MOBEAST_T15_C_2024-06-02_1200,T15,Control,2024-06-02,12:00:00,2024-06-02 12:00:00,0.00846002474675295,0.0547439518121068,0.0045029137238939004,0.0120612215979432,0.0301732105263161,0.373338113998483,0.453883885722189,0.524029809517779,0.0418370449179045,2.06447974376422,0.00641324554916015,Control
MOBEAST018,MOBEAST_T16_K_2024-06-02_1200,T16,Coral,2024-06-02,12:00:00,2024-06-02 12:00:00,0.00566217439080216,0.0691906690659906,0.00457644038195662,0.00924876761651831,0.0375071747776316,0.494816236250016,0.677348396071351,0.413656947161896,0.00998247000315422,1.63289177050007,2.04622481922986e-4,Coral
MOBEAST019,MOBEAST_F1_Inflow_2024-06-02_1800,F1,Inflow,2024-06-02,18:00:00,2024-06-02 18:00:00,0.00961986652567843,0.0315779044574697,0.00561235303758175,0.0102169424488086,0.0644203685763733,0.549318258931389,0.898175423942521,0.498031823212017,0.0304533832692455,2.24355159580479,0.0419484322293262,Inflow
MOBEAST020,MOBEAST_F2_Inflow_2024-06-02_1800,F2,Inflow,2024-06-02,18:00:00,2024-06-02 18:00:00,0.00820952535832342,0.0310021377847819,0.00564098860058841,0.00956289601103543,0.0341886755913544,0.589882875865094,0.741155663559568,0.723935431233357,0.0123931740910441,2.0658626169228,0.00812624189546666,Inflow
MOBEAST021,MOBEAST_T1_A_2024-06-02_1800,T1,Algae,2024-06-02,18:00:00,2024-06-02 18:00:00,0.010027685357668,0.0439651384661811,0.00948268515764913,0.0126113492378811,0.0395453582158987,0.751916783746316,0.849847397289607,0.724200625401542,0.0235533491981077,1.89420382433882,0.00918419440636502,Algae
MOBEAST022,MOBEAST_T2_R_2024-06-02_1800,T2,Rubble,2024-06-02,18:00:00,2024-06-02 18:00:00,0.00989730526578994,0.0493559048596402,0.00927075708610054,0.0112867140867675,0.04995288497511,0.821386722019437,0.795391962143761,0.618034421618206,0.0507273536225054,1.92840254200873,0.0182500389213102,Rubble
MOBEAST023,MOBEAST_T3_C_2024-06-02_1800,T3,Control,2024-06-02,18:00:00,2024-06-02 18:00:00,0.01037876327458,0.0289106904323535,0.00669876016416284,0.0125623217874888,0.0383274426956897,0.533242204544889,0.800204969080671,0.768079230294414,0.00141398922546794,2.18391127736469,0.0363378483026733,Control
MOBEAST024,MOBEAST_T4_A_2024-06-02_1800,T4,Algae,2024-06-02,18:00:00,2024-06-02 18:00:00,0.00886444497836918,0.0437684534559379,0.00825385430998473,0.00991821602174392,0.0436515113822685,0.832191423527137,0.83652675197506,0.619036528329923,0.00833448977261558,1.80835594853864,0.0157540617628621,Algae
MOBEAST025,MOBEAST_T5_R_2024-06-02_1800,T5,Rubble,2024-06-02,18:00:00,2024-06-02 18:00:00,0.00956095904636006,0.0510995109407609,0.00770686259051626,0.0122459360395947,0.0550942792924809,0.629340424904862,0.839587539224589,0.620345383252867,0,2.13520495349685,3.36374256132029e-4,Rubble
MOBEAST026,MOBEAST_T6_K_2024-06-02_1800,T6,Coral,2024-06-02,18:00:00,2024-06-02 18:00:00,0.0110295895818486,0.0708228191167677,0.00870641923363562,0.0154280351437499,0.0956305601836404,0.564324565799468,0.855793861398146,0.421731470332397,0.0253073138341852,2.07264691617572,0.048264258973294,Coral
MOBEAST027,MOBEAST_T7_K_2024-06-02_1800,T7,Coral,2024-06-02,18:00:00,2024-06-02 18:00:00,0.0072538361693044,0.0534740519511955,0.00631935728754721,0.00958640971009911,0.0446940034121581,0.659199583436318,0.820974909080176,0.506355768049089,0.0298766111036638,2.69473638334386,0.0247027438583745,Coral
MOBEAST028,MOBEAST_T8_C_2024-06-02_1800,T8,Control,2024-06-02,18:00:00,2024-06-02 18:00:00,0.0088080073067399,0.0576029020931357,0.00692525748758567,0.0115745375173169,0.0361069012924762,0.598318289367904,0.697553007313411,0.641668716780974,0.0363671273432839,2.30063745101818,0.00429340282897968,Control
MOBEAST029,MOBEAST_T9_K_2024-06-02_1800,T9,Coral,2024-06-02,18:00:00,2024-06-02 18:00:00,0.00949622436249104,0.143119748440901,0.00916199039488146,0.0122761953923963,0.196287269487803,0.746321649503578,1.48343189160331,0.242153187051873,0.0541522738954487,1.93159668333628,0.0346279065377962,Coral
MOBEAST030,MOBEAST_T10_R_2024-06-02_1800,T10,Rubble,2024-06-02,18:00:00,2024-06-02 18:00:00,0.0113326800612577,0.108853547149971,0.0106022867384042,0.013722838044471,0.134467579103283,0.772601607921465,1.34466685159939,0.36198716929975,0.0338857156769444,2.12712857987709,0.0624547434692155,Rubble
MOBEAST031,MOBEAST_T11_C_2024-06-02_1800,T11,Control,2024-06-02,18:00:00,2024-06-02 18:00:00,0.00546780633904299,0.0681049289489991,0.00545663285792053,0.00735085147634639,0.0680973536985832,0.74231303345999,1.1329896227316,0.350400339178703,0.0194873186110343,2.12011761732585,0.0476616478845649,Control
MOBEAST032,MOBEAST_T12_R_2024-06-02_1800,T12,Rubble,2024-06-02,18:00:00,2024-06-02 18:00:00,0.009966225964963,0.123325376031201,0.00902057764122225,0.0134007919691916,0.117219892646601,0.673137652010458,1.17842597597393,0.305346507487696,0.0220383585952933,1.52427042527438,0.0656641478016466,Rubble
MOBEAST033,MOBEAST_T13_A_2024-06-02_1800,T13,Algae,2024-06-02,18:00:00,2024-06-02 18:00:00,0.0136498337480532,0.120490442480545,0.0134733101693858,0.016866409163455,0.112516611421365,0.798825051545581,1.08790820206379,0.417771281563582,0.0343905439339923,1.65310190196627,0.0725953762954026,Algae
MOBEAST034,MOBEAST_T14_A_2024-06-02_1800,T14,Algae,2024-06-02,18:00:00,2024-06-02 18:00:00,0.00694874253422744,0.0780842005310253,0.00746659721797775,0.00903759122039181,0.0453144036568589,0.826171159537579,0.831293225511137,0.512977060403122,0,1.59209378613139,0.0123335629907121,Algae
MOBEAST035,MOBEAST_T15_C_2024-06-02_1800,T15,Control,2024-06-02,18:00:00,2024-06-02 18:00:00,0.0117718589686048,0.158665345074677,0.0109411607582869,0.0156074596625037,0.192750136986822,0.70102124207776,1.21046965270394,0.253372565523791,0.0550053115607561,1.73928034250018,0.0874312138276777,Control
MOBEAST036,MOBEAST_T16_K_2024-06-02_1800,T16,Coral,2024-06-02,18:00:00,2024-06-02 18:00:00,0.0150994295716038,0.156160356833622,0.015193018394023,0.0194140378043044,0.227201271988138,0.782579005314104,1.27440099129538,0.292961892711701,0.0275720406589553,1.59831132130223,0.10599838585404,Coral
MOBEAST037,MOBEAST_F1_Inflow_2024-06-03_0000,F1,Inflow,2024-06-03,00:00:00,2024-06-03,0.0120230422960719,0.0680075539084787,0.00662354364720263,0.0147200528243831,0.223115769710553,0.449967383013126,1.18931939773617,0.215966010018194,0.0389082800437421,2.14970987146313,0.120490760665248,Inflow
MOBEAST038,MOBEAST_F2_Inflow_2024-06-03_0000,F2,Inflow,2024-06-03,00:00:00,2024-06-03,0.0144786319062589,0.07773474454504,0.00959074096869089,0.0175780785545105,0.156530386015775,0.54560803895315,0.929369402686962,0.327321520074289,0.00985818028494469,2.2150152165697,0.108496661871507,Inflow
MOBEAST039,MOBEAST_T1_A_2024-06-03_0000,T1,Algae,2024-06-03,00:00:00,2024-06-03,0.0113059040274191,0.114888233737167,0.0112156114708627,0.0148847429340257,0.12631123194226,0.753497156153396,1.05252017035395,0.326864752974908,0.0298956307611386,1.60498020307518,0.0916639978185636,Algae
MOBEAST040,MOBEAST_T2_R_2024-06-03_0000,T2,Rubble,2024-06-03,00:00:00,2024-06-03,0.0126754908547336,0.0814580515017532,0.0121593034526263,0.0147644441395175,0.131338636586588,0.823553080476732,0.966675498602493,0.360395964542177,0.00677633767039729,1.77338147456372,0.101937689336571,Rubble
MOBEAST041,MOBEAST_T3_C_2024-06-03_0000,T3,Control,2024-06-03,00:00:00,2024-06-03,0.0126071041367188,0.0869774101817144,0.0105828289406039,0.017219505441266,0.217208526353525,0.614583791427744,1.14541676255448,0.254072774331337,0.0605038728867394,1.90381481269911,0.13246700598452,Control
MOBEAST042,MOBEAST_T4_A_2024-06-03_0000,T4,Algae,2024-06-03,00:00:00,2024-06-03,0.0149262566994344,0.087451604921005,0.0136141916735358,0.0187915309736933,0.111917214862574,0.724485497887033,0.856769673677748,0.432784934398711,0.037097364555353,1.79101587634539,0.059382487151877,Algae
MOBEAST043,MOBEAST_T5_R_2024-06-03_0000,T5,Rubble,2024-06-03,00:00:00,2024-06-03,0.0145856502432898,0.144604532576335,0.0115766887264242,0.0172277047062783,0.13005688200531,0.671980912361782,0.891804744197132,0.351829015797943,0.0119176014554204,1.82588542342665,0.0596422713854745,Rubble
MOBEAST044,MOBEAST_T6_K_2024-06-03_0000,T6,Coral,2024-06-03,00:00:00,2024-06-03,0.0146201705608244,0.131089540921486,0.0115079642372025,0.0186099496839187,0.116530510540846,0.618376966765626,0.87832656234717,0.374468455839693,0.0136270460412275,1.91481054382771,0.0331652300623647,Coral
MOBEAST045,MOBEAST_T7_K_2024-06-03_0000,T7,Coral,2024-06-03,00:00:00,2024-06-03,0.0119655671480688,0.123206010111657,0.0099340529807099,0.0147351438063127,0.0762315558068072,0.674174145246823,0.71835841867914,0.434584745213361,0.0420605136484289,1.9034559435353,0.018858109522665,Coral
MOBEAST046,MOBEAST_T8_C_2024-06-03_0000,T8,Control,2024-06-03,00:00:00,2024-06-03,0.0157211862584379,0.13244074003676,0.0110377161807759,0.0182101668207666,0.172191074944192,0.606129328161269,0.886696990060378,0.295764914214289,0.0621114961494961,1.84986200871376,0.0425801436190146,Control
MOBEAST047,MOBEAST_T9_K_2024-06-03_0000,T9,Coral,2024-06-03,00:00:00,2024-06-03,0.0138746232884498,0.117627262202307,0.0110899782915387,0.01778566525137,0.121276454196583,0.623534635044614,0.941449865321305,0.388078082574239,0.0213272010748258,1.82434135526073,0.00939003954946126,Coral
MOBEAST048,MOBEAST_T10_R_2024-06-03_0000,T10,Rubble,2024-06-03,00:00:00,2024-06-03,0.014216399378371,0.121116791694354,0.0108669307257733,0.0166837981893058,0.0642047431869289,0.651346330282211,0.761319030680367,0.49121309338386,0,2.07568461140424,0.0494161700514599,Rubble
MOBEAST049,MOBEAST_T11_C_2024-06-03_0000,T11,Control,2024-06-03,00:00:00,2024-06-03,0.0149523618211644,0.11353817623116,0.0104441116867942,0.0182994606256164,0.0650248048188801,0.5707333074164,0.645794013514446,0.569960650104279,0.0125494666311642,1.98951393913075,0.0115067557910814,Control
MOBEAST050,MOBEAST_T12_R_2024-06-03_0000,T12,Rubble,2024-06-03,00:00:00,2024-06-03,0.016649363900199,0.123107674743348,0.0118331155998278,0.0222535187684048,0.182420734981385,0.531741326977391,1.00072697211628,0.323345129834052,0,2.19368762891153,0.0543803939075935,Rubble
MOBEAST051,MOBEAST_T13_A_2024-06-03_0000,T13,Algae,2024-06-03,00:00:00,2024-06-03,0.0161639248965598,0.101727114525438,0.0163784266058621,0.0209230256585715,0.0847534810783764,0.782794366031489,0.889671427810509,0.524297076954956,0.022022215357982,1.82366841812021,0.0770718739409176,Algae
MOBEAST052,MOBEAST_T14_A_2024-06-03_0000,T14,Algae,2024-06-03,00:00:00,2024-06-03,0.0161367734881877,0.103195484985646,0.0142023487896293,0.0191916984010338,0.0823869062960122,0.740025634670471,0.884669477624331,0.544819497078094,0.0236187985214951,1.86968406989791,0.0522756286304756,Algae
MOBEAST053,MOBEAST_T15_C_2024-06-03_0000,T15,Control,2024-06-03,00:00:00,2024-06-03,0.0161838241547345,0.108457605232451,0.0109774512014353,0.0200729279347153,0.0989254274495726,0.546878424370282,0.85919708113195,0.490716379512179,0.0140580188719264,2.12597207202737,0.0427546352050586,Control
MOBEAST054,MOBEAST_T16_K_2024-06-03_0000,T16,Coral,2024-06-03,00:00:00,2024-06-03,0.0123763251322656,0.0970909299527098,0.0105150955439225,0.0169427833216572,0.0895882116970575,0.62062385762093,0.883819911118026,0.425936047224051,0.0343046705550475,1.84021957752386,0.02222870746994,Coral
MOBEAST055,MOBEAST_F1_Inflow_2024-06-03_0600,F1,Inflow,2024-06-03,06:00:00,2024-06-03 06:00:00,0.00930129743700761,0.0699443396791334,0.00680406273813205,0.0114912142393814,0.090466442670281,0.59210998910924,0.705112519912786,0.374000454499282,0.0292939746813898,1.84958385154209,0.0164911382109073,Inflow
