tank_number,treatment,inflow_table,date_time,date,time,org,conc_ul,outlier,time_string,date_string,date_time_string,conc_norm
T1,Algae,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,pico_euk,2.4,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-2.8040588235294117
T1,Algae,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,syn,59.6,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-59.31666666666667
T2,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,het_bact,347.82,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-179.21453333333335
T2,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,pico_euk,1.498,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-3.7060588235294114
T2,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,syn,44.592,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-74.32466666666667
T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,pico_euk,2.962,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-2.2420588235294114
T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,syn,112.729,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-6.187666666666672
T4,Algae,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,pico_euk,4.583,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.6210588235294114
T4,Algae,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,syn,85.15,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-33.766666666666666
T5,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,het_bact,474.867,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-52.167533333333324
T5,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,pico_euk,1.9,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-3.3040588235294117
T5,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,syn,87.367,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-31.549666666666667
T6,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,het_bact,470.733,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-56.30153333333334
T6,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,pico_euk,3.317,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-1.8870588235294115
T6,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,syn,81.917,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-36.99966666666667
T7,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,pico_euk,4.217,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.987058823529412
T7,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,syn,116.417,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-2.49966666666667
T8,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,het_bact,514.583,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-12.451533333333373
T8,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,pico_euk,2.7,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-2.5040588235294114
T8,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,syn,115.2,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-3.7166666666666686
T9,Coral,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,het_bact,524.617,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-2.417533333333381
