id_number,long_name,tank_number,treatment,date_time,date,time,inflow_table,date_string,time_string,date_time_string,nutrient,conc,outlier,conc_norm
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,2.095,not outlier,0.901388888888889
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.07915338049,not outlier,-0.01672259670055555
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,not outlier,-0.0043758460044444475
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.878276458,not outlier,-0.2909110613529411
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,1.012192888,not outlier,0.5415035791777778
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,2.01584661951,not outlier,0.9181114855894443
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,1.071,not outlier,-0.12261111111111123
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.1082596984,not outlier,0.012383721209444462
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.1006497578,not outlier,0.019273911795555557
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.8952388789,not outlier,-0.2739486404529411
