id_number,tank_number,treatment,inflow_table,date_time,date,time,fdom,fdom_conc,fdom_alt_name,fdom_cat,outlier,time_string,date_string,date_time_string,conc_norm
MOBEAST007,T5,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_m,0.00798038807665228,Marine Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.0013550476768897594
MOBEAST007,T5,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_t,0.0468113907268575,Tryptophan,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.006311836904229748
MOBEAST007,T5,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,m_to_c,0.65147493592624,m_to_c,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.16566187125023035
MOBEAST007,T5,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,bix,0.809934654402416,bix,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.20230064859745567
MOBEAST007,T5,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,hix,0.394668593569803,hix,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.011196170463061206
MOBEAST007,T5,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,fi,1.64077425570003,Fluvic Acid,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.10424058730494945
MOBEAST007,T5,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,lignin,0.0332114083848893,lignin,Other,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.0034352943828556623
MOBEAST008,T6,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_a,0.00883950132834377,UV-Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,8.775454246948335e-4
MOBEAST008,T6,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_b,0.0902454398599073,Tyrosine,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.04548751711429029
MOBEAST008,T6,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_c,0.00607299841421672,Visible-Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.0014770199107483391
MOBEAST008,T6,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_m,0.0141383098194434,Marine Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.004802874065901361
MOBEAST008,T6,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_t,0.112401389649781,Tryptophan,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.05927816201869375
MOBEAST008,T6,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,m_to_c,0.429542038035195,m_to_c,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.056271026640814625
MOBEAST008,T6,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,bix,1.10544232504663,bix,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.4978083192416698
MOBEAST008,T6,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,hix,0.263913512225075,hix,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.14195125180778922
MOBEAST008,T6,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,fpeak,0.00508427941616261,Phenylalanine,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.02761775490067698
MOBEAST008,T6,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,fi,2.19204824425479,Fluvic Acid,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.4470334012498105
MOBEAST008,T6,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,lignin,0.0314583355953983,lignin,Other,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.005188367172346664
MOBEAST009,T7,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_a,0.00615935701827658,UV-Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.001802598885372357
MOBEAST009,T7,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_b,0.0582300073973647,Tyrosine,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.013472084651747693
MOBEAST009,T7,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_c,0.00463336603630153,Visible-Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,3.738753283314897e-5
MOBEAST009,T7,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_m,0.0086108509646838,Marine Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-7.245847888582395e-4
MOBEAST009,T7,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_t,0.0618829090824658,Tryptophan,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.008759681451378551
MOBEAST009,T7,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,m_to_c,0.538084569725412,m_to_c,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.05227150504940237
MOBEAST009,T7,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,bix,0.944571048401857,bix,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.3369370425968967
