id_number,long_name,tank_number,treatment,date,time,inflow_table,date_time,date_string,time_string,date_time_string
MOBEAST058,MOBEAST_T2_R_2024-06-03_0600,T2,CCA,2024-06-03,06:00:00,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03 06:00:00
MOBEAST059,MOBEAST_T3_C_2024-06-03_0600,T3,Control,2024-06-03,06:00:00,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03 06:00:00
MOBEAST060,MOBEAST_T4_A_2024-06-03_0600,T4,Algae,2024-06-03,06:00:00,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03 06:00:00
MOBEAST061,MOBEAST_T5_R_2024-06-03_0600,T5,CCA,2024-06-03,06:00:00,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03 06:00:00
MOBEAST062,MOBEAST_T6_K_2024-06-03_0600,T6,Coral,2024-06-03,06:00:00,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03 06:00:00
MOBEAST063,MOBEAST_T7_K_2024-06-03_0600,T7,Coral,2024-06-03,06:00:00,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03 06:00:00
MOBEAST064,MOBEAST_T8_C_2024-06-03_0600,T8,Control,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03 06:00:00
MOBEAST065,MOBEAST_T9_K_2024-06-03_0600,T9,Coral,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03 06:00:00
MOBEAST066,MOBEAST_T10_R_2024-06-03_0600,T10,CCA,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03 06:00:00
MOBEAST067,MOBEAST_T11_C_2024-06-03_0600,T11,Control,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03 06:00:00
MOBEAST068,MOBEAST_T12_R_2024-06-03_0600,T12,CCA,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03 06:00:00
MOBEAST069,MOBEAST_T13_A_2024-06-03_0600,T13,Algae,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03 06:00:00
MOBEAST070,MOBEAST_T14_A_2024-06-03_0600,T14,Algae,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03 06:00:00
MOBEAST071,MOBEAST_T15_C_2024-06-03_0600,T15,Control,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03 06:00:00
MOBEAST072,MOBEAST_T16_K_2024-06-03_0600,T16,Coral,2024-06-03,06:00:00,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,2024-06-03 06:00:00
MOBEAST073,MOBEAST_F1_Inflow_2024-06-04_1200,F1,Inflow,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04 12:00:00
MOBEAST074,MOBEAST_F2_Inflow_2024-06-04_1200,F2,Inflow,2024-06-04,12:00:00,Table 2,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04 12:00:00
MOBEAST075,MOBEAST_T1_A_2024-06-04_1200,T1,Algae,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04 12:00:00
MOBEAST076,MOBEAST_T2_R_2024-06-04_1200,T2,CCA,2024-06-04,12:00:00,Table 2,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04 12:00:00
MOBEAST077,MOBEAST_T3_C_2024-06-04_1200,T3,Control,2024-06-04,12:00:00,Table 2,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04 12:00:00
MOBEAST078,MOBEAST_T4_A_2024-06-04_1200,T4,Algae,2024-06-04,12:00:00,Table 2,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04 12:00:00
MOBEAST079,MOBEAST_T5_R_2024-06-04_1200,T5,CCA,2024-06-04,12:00:00,Table 2,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04 12:00:00
MOBEAST080,MOBEAST_T6_K_2024-06-04_1200,T6,Coral,2024-06-04,12:00:00,Table 2,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04 12:00:00
MOBEAST081,MOBEAST_T7_K_2024-06-04_1200,T7,Coral,2024-06-04,12:00:00,Table 2,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04 12:00:00
MOBEAST082,MOBEAST_T8_C_2024-06-04_1200,T8,Control,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04 12:00:00
MOBEAST083,MOBEAST_T9_K_2024-06-04_1200,T9,Coral,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04 12:00:00
MOBEAST084,MOBEAST_T10_R_2024-06-04_1200,T10,CCA,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04 12:00:00
MOBEAST085,MOBEAST_T11_C_2024-06-04_1200,T11,Control,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04 12:00:00
MOBEAST086,MOBEAST_T12_R_2024-06-04_1200,T12,CCA,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04 12:00:00
MOBEAST087,MOBEAST_T13_A_2024-06-04_1200,T13,Algae,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04 12:00:00
MOBEAST088,MOBEAST_T14_A_2024-06-04_1200,T14,Algae,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04 12:00:00
MOBEAST089,MOBEAST_T15_C_2024-06-04_1200,T15,Control,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04 12:00:00
MOBEAST090,MOBEAST_T16_K_2024-06-04_1200,T16,Coral,2024-06-04,12:00:00,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,2024-06-04 12:00:00
MOBEAST091,MOBEAST_F1_Inflow_2024-06-06_1200,F1,Inflow,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06 12:00:00
MOBEAST092,MOBEAST_F2_Inflow_2024-06-06_1200,F2,Inflow,2024-06-06,12:00:00,Table 2,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06 12:00:00
MOBEAST093,MOBEAST_T1_A_2024-06-06_1200,T1,Algae,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06 12:00:00
MOBEAST094,MOBEAST_T2_R_2024-06-06_1200,T2,CCA,2024-06-06,12:00:00,Table 2,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06 12:00:00
MOBEAST095,MOBEAST_T3_C_2024-06-06_1200,T3,Control,2024-06-06,12:00:00,Table 2,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06 12:00:00
MOBEAST096,MOBEAST_T4_A_2024-06-06_1200,T4,Algae,2024-06-06,12:00:00,Table 2,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06 12:00:00
MOBEAST097,MOBEAST_T5_R_2024-06-06_1200,T5,CCA,2024-06-06,12:00:00,Table 2,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06 12:00:00
MOBEAST098,MOBEAST_T6_K_2024-06-06_1200,T6,Coral,2024-06-06,12:00:00,Table 2,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06 12:00:00
MOBEAST099,MOBEAST_T7_K_2024-06-06_1200,T7,Coral,2024-06-06,12:00:00,Table 2,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06 12:00:00
MOBEAST100,MOBEAST_T8_C_2024-06-06_1200,T8,Control,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06 12:00:00
MOBEAST101,MOBEAST_T9_K_2024-06-06_1200,T9,Coral,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06 12:00:00
MOBEAST102,MOBEAST_T10_R_2024-06-06_1200,T10,CCA,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06 12:00:00
MOBEAST103,MOBEAST_T11_C_2024-06-06_1200,T11,Control,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06 12:00:00
MOBEAST104,MOBEAST_T12_R_2024-06-06_1200,T12,CCA,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06 12:00:00
MOBEAST105,MOBEAST_T13_A_2024-06-06_1200,T13,Algae,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06 12:00:00
MOBEAST106,MOBEAST_T14_A_2024-06-06_1200,T14,Algae,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06 12:00:00
MOBEAST107,MOBEAST_T15_C_2024-06-06_1200,T15,Control,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06 12:00:00
MOBEAST108,MOBEAST_T16_K_2024-06-06_1200,T16,Coral,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06 12:00:00
MOBEAST109,MOBEAST_Bay _Endmember_2024-05-27_1500,Bay,Endmember,2024-05-27,15:00:00,Environmental data,2024-05-27T15:00:00Z,2024-05-27,15:00:00,2024-05-27 15:00:00
MOBEAST110,MOBEAST_Ocean_Endmember_2024-05-27_1500,Ocean,Endmember,2024-05-27,15:00:00,Environmental data,2024-05-27T15:00:00Z,2024-05-27,15:00:00,2024-05-27 15:00:00
MOBEAST111,MOBEAST_Lagoon_Endmember_2024-05-27_1645,Lagoon,Endmember,2024-05-27,16:45:00,Environmental data,2024-05-27T16:45:00Z,2024-05-27,16:45:00,2024-05-27 16:45:00
MOBEAST112,MOBEAST_Bay _Endmember_2024-05-25_1510,Bay,Endmember,2024-05-25,15:10:00,Environmental data,2024-05-25T15:10:00Z,2024-05-25,15:10:00,2024-05-25 15:10:00
MOBEAST113,MOBEAST_Ocean_Endmember_2024-05-25_1500,Ocean,Endmember,2024-05-25,15:00:00,Environmental data,2024-05-25T15:00:00Z,2024-05-25,15:00:00,2024-05-25 15:00:00
MOBEAST114,MOBEAST_Lagoon Tiahura_Endmember_2024-05-25_0845,Lagoon Tiahura,Endmember,2024-05-25,08:45:00,Environmental data,2024-05-25T08:45:00Z,2024-05-25,08:45:00,2024-05-25 08:45:00
MOBEAST115,MOBEAST_Bay _Rain_2024-06-06_1425,Bay,Rain,2024-06-06,14:25:00,Environmental data,2024-06-06T14:25:00Z,2024-06-06,14:25:00,2024-06-06 14:25:00
