id_number,tank_number,treatment,inflow_table,date,time,date_time,date_string,time_string,date_time_string,het_bact,pico_euk,syn,pro,tot_bact,cyano,chla_conc,npoc_u_m,tn_u_m,coble_a,coble_b,coble_c,coble_m,coble_t,m_to_c,bix,hix,fpeak,fi,lignin,N_N,NO2,PO4,SiO2,NH3,NO3,ph,ph_diff,delta_ta,do_mg_l,ta,p_h,dic_mmol_kg,residence_time,flowrate
MOBEAST018,T16,Coral,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00,347.121,2.047,75.391,10.915,433.428,86.30600000000004,0.398,140.075099702765,12.6310979745408,0.00566217439080216,0.0691906690659906,0.00457644038195662,0.00924876761651831,0.0375071747776316,2.020952278321623,0.677348396071351,0.413656947161896,0.00998247000315422,1.63289177050007,2.04622481922986e-4,0.388,0.08982130698,0.077,0.01,0.8778503431,0.29817869302,8.061930575755891,0.02284919116345918,-2.994999999999891,3.77,2340.188,8.050832465747686,1987.0802819783344,0.3198976327575176,8.683333333333334
MOBEAST019,F1,Inflow,Table 1,2024-06-02,18:00:00,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00,444.95,2.233,119.65,11.967,576.567,131.61700000000002,0.1828,113.01589416104,16.1080054545325,0.00961986652567843,0.0315779044574697,0.00561235303758175,0.0102169424488086,0.0644203685763733,1.820438304645724,0.898175423942521,0.498031823212017,0.0304533832692455,2.24355159580479,0.0419484322293262,1.095,0.09008471257,0.09447913233,0.01,0.2552340205,1.00491528743,8.057287049229256,0,0,NA,2348.571,NA,NA,NA,NA
MOBEAST020,F2,Inflow,Table 2,2024-06-02,18:00:00,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00,463.927,1.997,120.899,12.28,597.105,133.17899999999997,0.02879999999999999,103.940652917815,10.8490936480399,0.00820952535832342,0.0310021377847819,0.00564098860058841,0.00956289601103543,0.0341886755913544,1.6952517879646003,0.741155663559568,0.723935431233357,0.0123931740910441,2.0658626169228,0.00812624189546666,0.8,0.1499436334,0.077,0.2073184772,0.4430445612,0.6500563666000001,8.052809146653267,0,0,NA,2326.905,NA,NA,NA,NA
MOBEAST021,T1,Algae,Table 2,2024-06-02,18:00:00,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00,562.895,1.98,99.218,18.769,680.882,117.98699999999997,0.0748,118.261217081436,11.1139668872754,0.010027685357668,0.0439651384661811,0.00948268515764913,0.0126113492378811,0.0395453582158987,1.329934404466467,0.849847397289607,0.724200625401542,0.0235533491981077,1.89420382433882,0.00918419440636502,0.306,0.08363127556,0.08018384997,0.08669681774,0.3178655571,0.22236872444,NA,NA,NA,3.82,2370.89,8.012972776183116,2041.9107577699608,0.3607503607503607,7.7
MOBEAST022,T2,CCA,Table 2,2024-06-02,18:00:00,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00,402.817,1.817,93.617,9.7,506.133,103.31700000000001,0.02279999999999999,105.855612079229,11.0297214904296,0.00989730526578994,0.0493559048596402,0.00927075708610054,0.0112867140867675,0.04995288497511,1.2174533300726262,0.795391962143761,0.618034421618206,0.0507273536225054,1.92840254200873,0.0182500389213102,0.589,0.08303861298,0.077,0.01,0.4558230761,0.5059613870199999,8.005243259805392,-0.04756588684787566,9.974999999999907,4.11,2336.88,7.994039380686945,2020.2330768745664,1.7730496453900708,1.5666666666666669
MOBEAST023,T3,Control,Table 2,2024-06-02,18:00:00,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00,469.784,2.363,129.351,10.216,609.351,139.567,0.03,100.277252782935,11.910014493064,0.01037876327458,0.0289106904323535,0.00669876016416284,0.0125623217874888,0.0383274426956897,1.8753204293975112,0.800204969080671,0.768079230294414,0.00141398922546794,2.18391127736469,0.0363378483026733,1.083,0.1475071317,0.0837833815,0.1093133789,2.430103622,0.9354928683,8.054624546644947,0.00181539999167945,31.0949999999998,4.18,2358,8.046490955625014,2006.8214615727268,0.7278020378457059,3.816666666666667
MOBEAST024,T4,Algae,Table 2,2024-06-02,18:00:00,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00,615.917,2.333,119.533,12.9,748.35,132.433,0.0212,128.002531076457,10.7148721683194,0.00886444497836918,0.0437684534559379,0.00825385430998473,0.00991821602174392,0.0436515113822685,1.2016466064521882,0.83652675197506,0.619036528329923,0.00833448977261558,1.80835594853864,0.0157540617628621,0.584,0.01,0.1003755078,0.09800509832,2.802446005,0.574,7.995566812237878,-0.05724233441538917,44.184999999999945,3.21,2371.09,7.989123724251201,2055.1614417538763,0.5868544600938967,4.733333333333333
MOBEAST025,T5,CCA,Table 2,2024-06-02,18:00:00,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00,452.617,2.183,99.15,24.5,576.267,123.65000000000003,0.0632,107.687312146669,11.3595636374021,0.00956095904636006,0.0510995109407609,0.00770686259051626,0.0122459360395947,0.0550942792924809,1.588965145773331,0.839587539224589,0.620345383252867,0,2.13520495349685,3.36374256132029e-4,1.129,0.1259078731,0.07308763067,0.01,1.105257466,1.0030921269,8.027707544751832,-0.02510160190143473,15.519999999999982,3.03,2342.425,8.022165875602996,2009.5007860485664,0.6410256410256411,4.333333333333333
MOBEAST026,T6,Coral,Table 2,2024-06-02,18:00:00,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00,407.583,1.617,96.667,9,513.25,105.66699999999997,0.5976,128.751862922228,15.843846159338,0.0110295895818486,0.0708228191167677,0.00870641923363562,0.0154280351437499,0.0956305601836404,1.7720298930869969,0.855793861398146,0.421731470332397,0.0253073138341852,2.07264691617572,0.048264258973294,1.112,0.1186642193,0.07874403736,0.01696242086,1.373606278,0.9933357807000001,8.013710477340426,-0.03909866931284078,6.655999999999949,3.13,2333.561,8.007465058343824,2009.8275589661323,0.764525994,3.6333333333333337
MOBEAST027,T7,Coral,Table 2,2024-06-02,18:00:00,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00,494.942,2.413,131.581,10.882,637.404,142.46299999999997,0.24,110.018566777956,11.6922615605389,0.0072538361693044,0.0534740519511955,0.00631935728754721,0.00958640971009911,0.0446940034121581,1.5169912498838898,0.820974909080176,0.506355768049089,0.0298766111036638,2.69473638334386,0.0247027438583745,0.477,0.1177422998,0.1184074467,0.06973439688,0.5067689972,0.3592577002,8.011349692927423,-0.04145945372584414,-11.653999999999996,4.12,2315.251,8.004109391197263,1997.2291654370104,0.1402918069584736,19.8
MOBEAST028,T8,Control,Table 2,2024-06-02,18:00:00,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00,492.667,2.067,135.7,10.783,639.15,146.483,0.03759999999999999,428.817637606468,12.0692240142218,0.0088080073067399,0.0576029020931357,0.00692525748758567,0.0115745375173169,0.0361069012924762,1.6713512151808947,0.697553007313411,0.641668716780974,0.0363671273432839,2.30063745101818,0.00429340282897968,0.667,0.1671966997,0.1214584782,0.1884713429,1.000086926,0.49980330030000003,NA,NA,NA,4.18,2346.573,8.052464271,1994.6623829913308,0.27277686852154936,10.183333333333334
MOBEAST029,T9,Coral,Table 1,2024-06-02,18:00:00,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00,479.233,2.417,124.4,10.633,614.267,135.03300000000007,0.0292,140.574654266612,22.8262188809641,0.00949622436249104,0.143119748440901,0.00916199039488146,0.0122761953923963,0.196287269487803,1.339904852907798,1.48343189160331,0.242153187051873,0.0541522738954487,1.93159668333628,0.0346279065377962,2.128,0.1581750582,0.1005469141,0.0904662446,4.072058712,1.9698249418000002,8.049580364165314,-0.00770668506394223,-1.074999999999818,4.12,2347.496,8.042537088317895,2001.9505219619264,0.24509803921568624,11.333333333333334
MOBEAST030,T10,CCA,Table 1,2024-06-02,18:00:00,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00,422.717,1.783,104.867,10.95,538.533,115.81700000000001,0.1952,123.423280907857,17.6501245832352,0.0113326800612577,0.108853547149971,0.0106022867384042,0.013722838044471,0.134467579103283,1.294328137227544,1.34466685159939,0.36198716929975,0.0338857156769444,2.12712857987709,0.0624547434692155,1.612,0.15731899,0.1049349144,0.01,4.426998776,1.45468101,8.033367969181763,-0.02391908004749332,-1.686999999999898,3.7,2346.884,8.028511030133492,2010.4228394291308,0.2829654782116582,9.816666666666666
MOBEAST031,T11,Control,Table 1,2024-06-02,18:00:00,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00,485.9,2.833,133.683,11.367,630.95,145.04999999999995,0.07759999999999999,387.854163370994,16.4364197134229,0.00546780633904299,0.0681049289489991,0.00545663285792053,0.00735085147634639,0.0680973536985832,1.3471405659400966,1.1329896227316,0.350400339178703,0.0194873186110343,2.12011761732585,0.0476616478845649,1.046,0.1602164515,0.077,0.3241707098,2.573189361,0.8857835485000001,8.048189493504443,-0.00909755572481252,-1.8409999999998945,3.8,2346.73,8.042339039542458,2000.421195433444,0.7751937984496123,3.5833333333333335
MOBEAST032,T12,CCA,Table 1,2024-06-02,18:00:00,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00,421.498,1.714,109.368,9.667,540.532,119.03500000000003,0.1148,123.173503625934,15.486874138805,0.009966225964963,0.123325376031201,0.00902057764122225,0.0134007919691916,0.117219892646601,1.4855802479824174,1.17842597597393,0.305346507487696,0.0220383585952933,1.52427042527438,0.0656641478016466,1.275,0.1415146545,0.077,0.01,1.305846522,1.1334853455,8.039942493085857,-0.01734455614339936,-3.574000000000069,3.58,2344.997,8.032701957,2005.086768606336,0.37878787878787873,7.333333333333333
MOBEAST033,T13,Algae,Table 1,2024-06-02,18:00:00,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00,571.167,1.833,115.45,14.05,700.667,129.5,0.128,131.249635741464,15.5939657449649,0.0136498337480532,0.120490442480545,0.0134733101693858,0.016866409163455,0.112516611421365,1.2518385572224884,1.08790820206379,0.417771281563582,0.0343905439339923,1.65310190196627,0.0725953762954026,0.983,0.07316090327,0.077,0.01,1.300213887,0.90983909673,8.009743619735795,-0.04754342949346046,5.8530000000000655,3.34,2354.424,8.001514325000825,2031.4448662127031,2.4509803921568625,1.1333333333333333
MOBEAST034,T14,Algae,Table 1,2024-06-02,18:00:00,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02 18:00:00,487.3,1.633,100.7,10,598,110.69999999999999,0.0372,102.858284696146,11.7450934195778,0.00694874253422744,0.0780842005310253,0.00746659721797775,0.00903759122039181,0.0453144036568589,1.2104029394583504,0.831293225511137,0.512977060403122,0,1.59209378613139,0.0123335629907121,0.611,0.144741373,0.07946394367,0.06408025659,1.171672116,0.466258627,8.030702788271917,-0.02658426095733901,-4.626999999999953,3.75,2343.944,8.025549192585027,2007.7614476832553,0.9208103130755064,3.0166666666666666
