ID Number,Long Name,Tank #,Treatment,Date,Time,Variable,Note 
,MOBEAST_T7_K_2024-06-06_0:00,T7,K,6/6/2024,0:00,fDOM,
,MOBEAST_T8_C_2024-06-06_0:00,T8,C,6/6/2024,0:00,fDOM,
,MOBEAST_T9_K_2024-06-06_0:00,T9,K,6/6/2024,0:00,fDOM,
,MOBEAST_T10_R_2024-06-06_0:00,T10,R,6/6/2024,0:00,fDOM,
,MOBEAST_T11_C_2024-06-06_0:00,T11,C,6/6/2024,0:00,fDOM,
,MOBEAST_T12_R_2024-06-06_0:00,T12,R,6/6/2024,0:00,fDOM,
,MOBEAST_T13_A_2024-06-06_0:00,T13,A,6/6/2024,0:00,fDOM,
,MOBEAST_T14_A_2024-06-06_0:00,T14,A,6/6/2024,0:00,fDOM,
,MOBEAST_T15_C_2024-06-06_0:00,T15,C,6/6/2024,0:00,fDOM,
,MOBEAST_T16_K_2024-06-06_0:00,T16,K,6/6/2024,0:00,fDOM,
,MOBEAST_Bay_Endmember_2024-05-27_0:00,Bay,Endmember,5/27/2024,0:00,fDOM,
,MOBEAST_Ocean_Endmember_2024-05-27_0:00,Ocean,Endmember,5/27/2024,0:00,fDOM,
,MOBEAST_Lagoon_Endmember_2024-05-27_0:00,Lagoon,Endmember,5/27/2024,0:00,fDOM,
,MOBEAST_Bay_Endmember_2024-05-25_0:00,Bay,Endmember,5/25/2024,0:00,fDOM,
,MOBEAST_Ocean_Endmember_2024-05-25_0:00,Ocean,Endmember,5/25/2024,0:00,fDOM,
,MOBEAST_Lagoon Tiahura_Endmember_2024-05-25_0845,Lagoon Tiahura,Endmember,5/25/2024,0845,fDOM,
,MOBEAST_Bay_Rain_2024-06-06_0:00,Bay,Rain,6/6/2024,0:00,fDOM,
