Cracked,ID Number ,Long Name ,Tank #,Treatment,Date,Time,Variable,Note 
TRUE,MOBEAST057,MOBEAST_T1_A_2024-06-03_0600,T1,A,6/3/2024,0600,DNA,
TRUE,MOBEAST058,MOBEAST_T2_R_2024-06-03_0600,T2,R,6/3/2024,0600,DNA,
TRUE,MOBEAST059,MOBEAST_T3_C_2024-06-03_0600,T3,C,6/3/2024,0600,DNA,
TRUE,MOBEAST060,MOBEAST_T4_A_2024-06-03_0600,T4,A,6/3/2024,0600,DNA,
TRUE,MOBEAST061,MOBEAST_T5_R_2024-06-03_0600,T5,R,6/3/2024,0600,DNA,
TRUE,MOBEAST062,MOBEAST_T6_K_2024-06-03_0600,T6,K,6/3/2024,0600,DNA,
TRUE,MOBEAST063,MOBEAST_T7_K_2024-06-03_0600,T7,K,6/3/2024,0600,DNA,
TRUE,MOBEAST064,MOBEAST_T8_C_2024-06-03_0600,T8,C,6/3/2024,0600,DNA,
TRUE,MOBEAST065,MOBEAST_T9_K_2024-06-03_0600,T9,K,6/3/2024,0600,DNA,
TRUE,MOBEAST066,MOBEAST_T10_R_2024-06-03_0600,T10,R,6/3/2024,0600,DNA,
TRUE,MOBEAST067,MOBEAST_T11_C_2024-06-03_0600,T11,C,6/3/2024,0600,DNA,
TRUE,MOBEAST068,MOBEAST_T12_R_2024-06-03_0600,T12,R,6/3/2024,0600,DNA,
TRUE,MOBEAST069,MOBEAST_T13_A_2024-06-03_0600,T13,A,6/3/2024,0600,DNA,
TRUE,MOBEAST070,MOBEAST_T14_A_2024-06-03_0600,T14,A,6/3/2024,0600,DNA,
TRUE,MOBEAST071,MOBEAST_T15_C_2024-06-03_0600,T15,C,6/3/2024,0600,DNA,
TRUE,MOBEAST072,MOBEAST_T16_K_2024-06-03_0600,T16,K,6/3/2024,0600,DNA,
TRUE,MOBEAST073,MOBEAST_F1_Inflow_2024-06-04_1200,F1,Inflow,6/4/2024,1200,DNA,
TRUE,MOBEAST074,MOBEAST_F2_Inflow_2024-06-04_1200,F2,Inflow,6/4/2024,1200,DNA,
TRUE,MOBEAST075,MOBEAST_T1_A_2024-06-04_1200,T1,A,6/4/2024,1200,DNA,
TRUE,MOBEAST076,MOBEAST_T2_R_2024-06-04_1200,T2,R,6/4/2024,1200,DNA,
TRUE,MOBEAST077,MOBEAST_T3_C_2024-06-04_1200,T3,C,6/4/2024,1200,DNA,
TRUE,MOBEAST078,MOBEAST_T4_A_2024-06-04_1200,T4,A,6/4/2024,1200,DNA,
TRUE,MOBEAST079,MOBEAST_T5_R_2024-06-04_1200,T5,R,6/4/2024,1200,DNA,
TRUE,MOBEAST080,MOBEAST_T6_K_2024-06-04_1200,T6,K,6/4/2024,1200,DNA,
TRUE,MOBEAST081,MOBEAST_T7_K_2024-06-04_1200,T7,K,6/4/2024,1200,DNA,
TRUE,MOBEAST082,MOBEAST_T8_C_2024-06-04_1200,T8,C,6/4/2024,1200,DNA,
TRUE,MOBEAST083,MOBEAST_T9_K_2024-06-04_1200,T9,K,6/4/2024,1200,DNA,
TRUE,MOBEAST084,MOBEAST_T10_R_2024-06-04_1200,T10,R,6/4/2024,1200,DNA,
TRUE,MOBEAST085,MOBEAST_T11_C_2024-06-04_1200,T11,C,6/4/2024,1200,DNA,
TRUE,MOBEAST086,MOBEAST_T12_R_2024-06-04_1200,T12,R,6/4/2024,1200,DNA,
TRUE,MOBEAST087,MOBEAST_T13_A_2024-06-04_1200,T13,A,6/4/2024,1200,DNA,
TRUE,MOBEAST088,MOBEAST_T14_A_2024-06-04_1200,T14,A,6/4/2024,1200,DNA,
TRUE,MOBEAST089,MOBEAST_T15_C_2024-06-04_1200,T15,C,6/4/2024,1200,DNA,
TRUE,MOBEAST090,MOBEAST_T16_K_2024-06-04_1200,T16,K,6/4/2024,1200,DNA,
TRUE,MOBEAST091,MOBEAST_F1_Inflow_2024-06-06_1200,F1,Inflow,6/6/2024,1200,DNA,
TRUE,MOBEAST092,MOBEAST_F2_Inflow_2024-06-06_1200,F2,Inflow,6/6/2024,1200,DNA,
TRUE,MOBEAST093,MOBEAST_T1_A_2024-06-06_1200,T1,A,6/6/2024,1200,DNA,
TRUE,MOBEAST094,MOBEAST_T2_R_2024-06-06_1200,T2,R,6/6/2024,1200,DNA,
TRUE,MOBEAST095,MOBEAST_T3_C_2024-06-06_1200,T3,C,6/6/2024,1200,DNA,
TRUE,MOBEAST096,MOBEAST_T4_A_2024-06-06_1200,T4,A,6/6/2024,1200,DNA,
