id_number,long_name,tank_number,treatment,inflow_table,date_time,date,time,npoc_u_m,npoc_u_m_norm,coble_a,coble_b,coble_c,coble_m,coble_t,m_to_c,bix,hix,fpeak,fi,lignin,ph,ph_inflow,ph_diff,ta,ta_inflow,delta_ta
MOBEAST031,MOBEAST_T11_C_2024-06-02_1800,T11,Control,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,387.854163370994,274.838269209954,-0.00415206018663544,0.0365270244915294,-1.5572017966121977e-4,-0.0028660909724622,0.0036769851222099,0.19299477452860103,0.23481419878907905,-0.147631484033314,-0.0109660646582112,-0.12343397847894,0.0057132156552387,8.048189493504443,8.057287049229256,-0.00909755572481252,2346.73,2348.571,-1.8409999999998945
MOBEAST032,MOBEAST_T12_R_2024-06-02_1800,T12,CCA,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,123.173503625934,10.157609464894009,3.4635943928456973e-4,0.09174747157373132,0.0034082246036405,0.003183849520383,0.0527995240702277,0.12381939307906908,0.2802505520314089,-0.19268531572432104,-0.0084150246739522,-0.7192811705304101,0.0237157155723204,8.039942493085857,8.057287049229256,-0.01734455614339936,2344.997,2348.571,-3.574000000000069
MOBEAST033,MOBEAST_T13_A_2024-06-02_1800,T13,Algae,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,131.249635741464,18.23374158042401,0.00402996722237476,0.0889125380230753,0.00786095713180404,0.00664946671464639,0.0480962428449917,0.2495067926141921,0.189732778121269,-0.08026054164843499,0.0039371606647468,-0.59044969383852,0.03064694406607639,8.009743619735795,8.057287049229256,-0.04754342949346046,2354.424,2348.571,5.8530000000000655
MOBEAST034,MOBEAST_T14_A_2024-06-02_1800,T14,Algae,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,102.858284696146,-10.157609464893994,-0.00267112399145099,0.0465062960735556,0.001854244180396,-0.00117935122841678,-0.0191059649195144,0.27685290060619006,-0.06688219843138399,0.01494523719110496,-0.0304533832692455,-0.6514578096734001,-0.02961486923861409,8.030702788271917,8.057287049229256,-0.02658426095733901,2343.944,2348.571,-4.626999999999953
MOBEAST035,MOBEAST_T15_C_2024-06-02_1800,T15,Control,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,129.001640204151,15.985746043110993,0.00215199244292636,0.1270874406172073,0.00532880772070515,0.0053905172136951,0.12832976841044869,0.15170298314637098,0.312294228761419,-0.244659257688226,0.0245519282915106,-0.5042712533046101,0.0454827815983515,8.056982128280218,8.057287049229256,-3.049209490377791e-4,2354.266,2348.571,5.695000000000164
MOBEAST036,MOBEAST_T16_K_2024-06-02_1800,T16,Coral,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,134.330222218522,21.314328057482015,0.00547956304592536,0.12458245237615231,0.00958066535644125,0.0091970953554958,0.1627809034117647,0.233260746382715,0.37622556735285895,-0.205069930500316,-0.0028813426102902,-0.64524027450256,0.0640499536247138,7.993301987325555,8.057287049229256,-0.06398506190370057,2359.864,2348.571,11.29300000000012
MOBEAST037,MOBEAST_F1_Inflow_2024-06-03_0000,F1,Inflow,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,318.582597184177,0,0,0,0,0,0,0,0,0,0,0,0,8.002849161030754,8.002849161030754,0,2349.51,2349.51,0
MOBEAST038,MOBEAST_F2_Inflow_2024-06-03_0000,F2,Inflow,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,322.079479131108,0,0,0,0,0,0,0,0,0,0,0,0,8.03939401809913,8.03939401809913,0,2363.69,2363.69,0
MOBEAST039,MOBEAST_T1_A_2024-06-03_0000,T1,Algae,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,158.14232309524,-160.44027408893703,-7.171382686528005e-4,0.04688067982868831,0.00459206782366007,1.6469010964259914e-4,-0.096804537768293,0.30352977314026997,-0.13679922738222006,0.11089874295671404,-0.00901264928260349,-0.5447296683879501,-0.02882676284668439,7.976547298989125,8.002849161030754,-0.02630186204162932,2366.852,2349.51,17.341999999999643
MOBEAST040,MOBEAST_T2_R_2024-06-03_0000,T2,CCA,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,355.050080345026,32.97060121391803,-0.0018031410515253,0.0037233069567132,0.00256856248393541,-0.002813634414993,-0.025191749429187,0.277945041523582,0.03730609591553102,0.03307444446788799,-0.0030818426145474,-0.44163374200598016,-0.00655897253493599,7.915037574888728,8.03939401809913,-0.12435644321040318,2346.444,2363.69,-17.246000000000095
MOBEAST041,MOBEAST_T3_C_2024-06-03_0000,T3,Control,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,336.816338764602,14.73685963349402,-0.00187152776954009,0.0092426656366744,9.920879719130093e-4,-3.585731132445015e-4,0.06067814033774998,0.06897575247459398,0.216047359867518,-0.07324874574295198,0.0506456926017947,-0.3112004038705902,0.02397034411301299,8.030448330295556,8.03939401809913,-0.00894568780357474,2356.603,2363.69,-7.086999999999989
MOBEAST042,MOBEAST_T4_A_2024-06-03_0000,T4,Algae,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,108.686421274364,-213.393057856744,4.476247931754998e-4,0.009716860375965,0.0040234507048449,0.00121345241918279,-0.04461317115320101,0.17887745893388296,-0.07259972900921396,0.10546341432442202,0.02723918427040831,-0.4239993402243101,-0.04911417471963,7.95676234348475,8.03939401809913,-0.08263167461438048,2459.783,2363.69,96.09299999999983
MOBEAST043,MOBEAST_T5_R_2024-06-03_0000,T5,CCA,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,311.422315102367,-10.657164028740963,1.0701833703090012e-4,0.066869788031295,0.00198594775773331,-3.503738482322008e-4,-0.02647350401046502,0.126372873408632,-0.03756465848983004,0.02450749572365401,0.0020594211704757,-0.3891297931430502,-0.04885439048603249,7.993272771388212,8.03939401809913,-0.04612124671091866,2351.969,2363.69,-11.721000000000004
MOBEAST044,MOBEAST_T6_K_2024-06-03_0000,T6,Coral,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,94.8654116745902,-227.21406745651777,1.4153865456550084e-4,0.05335479637644601,0.0019172232685116,0.00103187112940819,-0.03999987547492902,0.07276892781247601,-0.051042840339792,0.04714693576540402,0.0037688657562828,-0.30020467274199003,-0.0753314318091423,7.978127166200953,8.03939401809913,-0.0612668518981776,2337.276,2363.69,-26.414000000000215
MOBEAST045,MOBEAST_T7_K_2024-06-03_0000,T7,Coral,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,92.367638855354,-229.71184027575396,-0.0025130647581901,0.045471265566617,3.433120120190092e-4,-0.0028429347481978,-0.08029883020896782,0.12856610629367293,-0.21101098400782203,0.107263225139072,0.03220233336348421,-0.3115592730344001,-0.089638552348842,7.965765838902617,8.03939401809913,-0.07362817919651388,2318.561,2363.69,-45.128999999999905
MOBEAST046,MOBEAST_T8_C_2024-06-03_0000,T8,Control,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,85.7901704313654,-232.7924267528116,0.003698143962366,0.06443318612828132,0.00441417253357327,0.00349011399638349,-0.05092469476636099,0.15616194514814297,-0.30262240767579196,0.07979890419609503,0.023203216105754,-0.29984786274937014,-0.0779106170462334,8.032066716825833,8.002849161030754,0.02921755579507845,2355.957,2349.51,6.446999999999662
MOBEAST047,MOBEAST_T9_K_2024-06-03_0000,T9,Coral,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,88.7874978144488,-229.79509936972823,0.00185158099237789,0.04961970829382831,0.00446643464433607,0.00306561242698689,-0.10183931551397,0.17356725203148804,-0.24786953241486495,0.172112072556045,-0.01758107896891629,-0.32536851620240026,-0.11110072111578674,8.009730752954257,8.002849161030754,0.00688159192350212,NA,2349.51,NA
MOBEAST048,MOBEAST_T10_R_2024-06-03_0000,T10,CCA,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,86.8725386530344,-231.71005853114264,0.00219335708229909,0.05310923778587531,0.00424338707857066,0.00196374536492269,-0.1589110265236241,0.201378947269085,-0.428000367055803,0.275247083365666,-0.0389082800437421,-0.07402526005889021,-0.0710745906137881,8.014314453662687,8.002849161030754,0.0114652926319323,2357.273,2349.51,7.76299999999992
MOBEAST049,MOBEAST_T11_C_2024-06-03_0000,T11,Control,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,81.5439566386639,-237.03864054551312,0.00292931952509249,0.0455306223226813,0.00382056803959157,0.00357940780123329,-0.1580909648916729,0.12076592440327404,-0.543525384221724,0.353994640086085,-0.02635881341257789,-0.16019593233238028,-0.1089840048741666,8.02518529369596,8.002849161030754,0.02233613266520606,2358.984,2349.51,9.473999999999704
MOBEAST050,MOBEAST_T12_R_2024-06-03_0000,T12,CCA,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,83.7086930820019,-234.87390410217512,0.00462632160412709,0.0551001208348693,0.00520957195262517,0.0075334659440217,-0.04069503472916799,0.08177394396426496,-0.1885924256198901,0.10737911981585802,-0.0389082800437421,0.04397775744839993,-0.0661103667576545,8.007906759444515,8.002849161030754,0.00505759841376018,2357.547,2349.51,8.036999999999807
