id_number,long_name,tank_number,treatment,inflow_table,date_time,date,time,sample,npoc_mg_l,tn_mg_l,npoc_u_m,tn_u_m,npoc_u_m_norm,inflow
MOBEAST058,MOBEAST_T2_R_2024-06-03_0600,T2,CCA,Table 2,2024-06-03 06:00:00,2024-06-03,06:00:00,T2 06/03/24 6:00,0.9534,0.13379,79.3792201953258,9.55185732542283,4.312821067881103,75.0663991274447
MOBEAST059,MOBEAST_T3_C_2024-06-03_0600,T3,Control,Table 2,2024-06-03 06:00:00,2024-06-03,06:00:00,T3 06/03/24 6:00,0.8591,0.14462,71.5278876335268,10.3250587218974,-3.5385114939178948,75.0663991274447
MOBEAST060,MOBEAST_T4_A_2024-06-03_0600,T4,Algae,Table 2,2024-06-03 06:00:00,2024-06-03,06:00:00,T4 06/03/24 6:00,1.5814,0.19512,131.665931211337,13.930476129281,56.59953208389231,75.0663991274447
MOBEAST061,MOBEAST_T5_R_2024-06-03_0600,T5,CCA,Table 2,2024-06-03 06:00:00,2024-06-03,06:00:00,T5 06/03/24 6:00,0.9028,0.15136,75.1663100402142,10.8062570055759,0.09991091276950215,75.0663991274447
MOBEAST062,MOBEAST_T6_K_2024-06-03_0600,T6,Coral,Table 2,2024-06-03 06:00:00,2024-06-03,06:00:00,T6 06/03/24 6:00,1.0014,0.17842,83.3756567061037,12.7381895807007,8.309257578659,75.0663991274447
MOBEAST063,MOBEAST_T7_K_2024-06-03_0600,T7,Coral,Table 2,2024-06-03 06:00:00,2024-06-03,06:00:00,T7 06/03/24 6:00,1.1904,0.18102,99.1116254672917,12.9238150313778,24.045226339847005,75.0663991274447
MOBEAST064,MOBEAST_T8_C_2024-06-03_0600,T8,Control,Table 1,2024-06-03 06:00:00,2024-06-03,06:00:00,T8 06/03/24 6:00,0.98725,0.16429,82.197540526364,11.7293866506743,7.131141398919297,75.0663991274447
MOBEAST065,MOBEAST_T9_K_2024-06-03_0600,T9,Coral,Table 1,2024-06-03 06:00:00,2024-06-03,06:00:00,T9 06/03/24 6:00,1.81005,0.2532,150.703123048615,18.0770631197927,75.6367239211703,75.0663991274447
MOBEAST066,MOBEAST_T10_R_2024-06-03_0600,T10,CCA,Table 1,2024-06-03 06:00:00,2024-06-03,06:00:00,T10 06/03/24 6:00,1.81005,0.3016,150.703123048615,21.5325522785524,75.6367239211703,75.0663991274447
MOBEAST067,MOBEAST_T11_C_2024-06-03_0600,T11,Control,Table 1,2024-06-03 06:00:00,2024-06-03,06:00:00,T11 06/03/24 6:00,1.04505,1.1192,87.0099161580924,79.9046170761136,11.943517030647698,75.0663991274447
MOBEAST068,MOBEAST_T12_R_2024-06-03_0600,T12,CCA,Table 1,2024-06-03 06:00:00,2024-06-03,06:00:00,NA,NA,NA,NA,NA,NA,75.0663991274447
MOBEAST069,MOBEAST_T13_A_2024-06-03_0600,T13,Algae,Table 1,2024-06-03 06:00:00,2024-06-03,06:00:00,T13 06/03/24 6:00,1.40505,0.1728,116.983189988927,12.3369530296215,41.9167908614823,75.0663991274447
MOBEAST070,MOBEAST_T14_A_2024-06-03_0600,T14,Algae,Table 1,2024-06-03 06:00:00,2024-06-03,06:00:00,T14 06/03/24 6:00,1.52805,0.2174,127.224058547795,15.521143452776199,52.1576594203503,75.0663991274447
MOBEAST071,MOBEAST_T15_C_2024-06-03_0600,T15,Control,Table 1,2024-06-03 06:00:00,2024-06-03,06:00:00,T15 06/03/24 6:00,1.83905,0.2247,153.117636773877,16.0423226027544,78.0512376464323,75.0663991274447
