Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
500	560.296	-6.98679755154262
500	564.979	-1.82547410837258
500	569.664	-3.75025792393865
500	574.351	-4.5040822978039
500	579.04	-5.68556814043457
500	583.732	30.1160096773908
500	588.426	-17.2823672638495
500	593.121	-2.00674365525985
500	597.819	-29.6244138140637
500	602.519	-11.6009653269187
500	607.221	-7.35597571840734
500	611.924	13.7851100399983
500	616.63	14.026290327873
500	621.338	-4.46163150739607
500	626.047	-0.41378918773379
500	630.758	-4.57265547019176
500	635.471	-0.84171456289631
500	640.186	13.7946863091157
500	644.903	-10.142013931158
500	649.621	-16.7009089939719
500	654.341	1.30787716871496
500	659.063	-17.1078752020873
500	663.787	9.79734050025798
500	668.512	23.7788527833742
500	673.238	62.2982935813928
500	677.967	-32.2714590702582
500	682.696	19.274961033262
500	687.428	-21.2946761109815
500	692.16	12.5707970752062
500	696.895	-21.0841882170883
500	701.63	-18.4284065325149
500	706.367	1.90712126799424
500	711.106	12.5462163493975
500	715.845	25.8986755264964
500	720.586	-16.1748654818889
500	725.329	1.979050231718
500	730.072	-19.981659356443
500	734.817	34.1685545054093
500	739.563	23.8803413284611
500	744.31	4.63240829616337
500	749.058	17.1379691835017
500	753.808	-39.710356322162
500	758.558	-36.5995795090284
500	763.31	-31.32030754679
500	768.062	-3.34356752743089
500	772.815	37.1448870872372
500	777.57	-7.8836794127559
500	782.325	-19.5383262676442
500	787.081	-15.3307045424511
500	791.838	22.3782269782578
500	796.596	-25.8073731961307
500	801.355	-31.0688438655037
500	806.114	-24.8669946825552
500	810.875	11.4038532343128
500	815.635	32.6351141542781
500	820.397	-10.8628662268377
500	825.159	-50.7745355362387
495	248.336	33.8014700638655
495	252.814	-24.9862393294937
495	257.296	21.945189231831
495	261.781	-35.6517617971443
495	266.271	9.63158811087368
495	270.764	14.1684569642019
495	275.26	-43.8131216193478
495	279.76	-1.60878839740712
495	284.264	6.17048619694588
495	288.772	-15.993859355946
495	293.283	10.2388379122664
495	297.797	21.1534717840265
495	302.315	10.1697515949467
495	306.837	-1.76699053452497
495	311.362	4.839935603528
495	315.89	-40.0237936430543
495	320.422	30.4055695565292
495	324.958	9.09270396641714
495	329.496	26.8221008637667
495	334.038	-11.642791851791
495	338.584	4.18569894764388
495	343.133	-25.0534392469268
495	347.685	0.00347795733252365
495	352.24	24.0848234357415
495	356.799	-19.5813786848648
495	361.361	5.27737409373043
495	365.926	7.70256478643915
495	370.495	-1.43664260789928
495	375.067	3.34430838315728
495	379.641	-33.5314855035344
495	384.219	-2.73583061712949
495	388.801	3.51378305809807
495	393.385	9.27468926388661
495	397.972	0.80299192207006
495	402.562	-32.5674013436552
495	407.156	28.008517683256
495	411.752	-40.1743482582611
495	416.352	18.0778061008306
495	420.954	-7.38369415987692
495	425.56	6.51406476775081
495	430.168	8.16161733283395
495	434.779	10.9745471766017
495	439.393	-7.05135119046294
495	444.01	22.6117582529364
495	448.63	-15.029380168006
495	453.253	22.6143953633933
495	457.878	7.00822077478049
495	462.506	-2.67984385905251
495	467.137	-11.1753167069221
495	471.771	-13.039521807157
495	476.407	-23.6559573739216
495	481.047	-10.3638247261881
495	485.688	13.7334673293075
495	490.333	-90.2997767576026
495	494.979	-322.991583018269
495	499.629	-61.84567850858
495	504.281	18.6359010262014
495	508.936	0.918659067396241
495	513.593	12.3683749636277
495	518.252	0.303803467254454
495	522.914	11.624715871753
495	527.579	-0.0177494386317605
495	532.245	3.45253914445586
495	536.915	2.21261267072308
495	541.586	1.90665924833906
495	546.26	3.22959985462564
495	550.936	9.11200892947511
495	555.615	9.12333981641888
495	560.296	-9.50906649122186
495	564.979	0.00959415773525762
495	569.664	0.325827414462287
495	574.351	-9.39876357805096
495	579.04	-24.392507646859
495	583.732	14.6201445005276
495	588.426	1.28795512905262
495	593.121	-23.2006187510407
495	597.819	-19.2115709043103
495	602.519	-10.9529296009279
495	607.221	-8.87317127812402
495	611.924	15.6317710304481
495	616.63	13.6502870660267
495	621.338	-23.5678413013137
495	626.047	-15.0167707396387
495	630.758	-21.0942952408715
495	635.471	-5.96183183904672
495	640.186	-2.9895884397063
495	644.903	7.17772104828064
495	649.621	-2.67790879022269
495	654.341	1.95079576523235
495	659.063	-26.2733551028406
495	663.787	-1.9928051140352
495	668.512	8.42793328216052
495	673.238	19.7752419224172
495	677.967	-0.810913465472923
495	682.696	33.271042572542
495	687.428	-2.48457621742488
495	692.16	-5.82869770259871
495	696.895	-11.3054629906395
495	701.63	8.01712055719233
495	706.367	14.5274869964611
495	711.106	27.6294177262759
495	715.845	-12.2303906375077
495	720.586	-47.7339435538709
495	725.329	35.0256755871915
495	730.072	-21.4097427310016
495	734.817	39.964109581836
495	739.563	14.5339576334503
495	744.31	7.81676062899909
495	749.058	3.7108394148258
495	753.808	-13.2374726115505
495	758.558	-46.6993883135969
495	763.31	6.37976789753084
495	768.062	-24.2949772995849
495	772.815	-1.98140471175954
495	777.57	-6.06454572063948
495	782.325	-24.6305127859577
495	787.081	31.1040050046068
495	791.838	14.2035953142543
495	796.596	-13.9339085858185
495	801.355	-25.9316313452527
495	806.114	-21.7687259545709
495	810.875	-15.7465918714245
495	815.635	23.6133575081711
495	820.397	-16.6673711072915
495	825.159	-24.0793170869871
490	248.336	28.0643741685841
490	252.814	-3.52773310703276
490	257.296	-3.97527879182913
490	261.781	7.04922784712239
490	266.271	25.1036039113914
490	270.764	-19.4830489224583
490	275.26	-23.5887670675578
490	279.76	2.92931371866067
490	284.264	9.7631284191724
490	288.772	-7.45563103366339
490	293.283	10.5222152960686
490	297.797	15.4765696108004
490	302.315	2.00847515224544
490	306.837	-21.5410376262415
490	311.362	2.3875119384305
490	315.89	-32.6297019852891
490	320.422	22.3267387751451
490	324.958	-0.411631123636883
490	329.496	-3.76081761441239
490	334.038	28.210794994264
490	338.584	6.31027074461795
490	343.133	-7.97049119974785
490	347.685	21.4962136284602
490	352.24	0.426626862037525
490	356.799	-12.0930193998592
490	361.361	-1.73885553506835
490	365.926	-7.85019070766765
490	370.495	28.5717518063222
490	375.067	23.3048472319602
490	379.641	-29.4990134407734
490	384.219	-9.90805309770712
490	388.801	-11.560183667628
490	393.385	23.2637420773334
490	397.972	-13.667228608245
490	402.562	-14.1955836441645
490	407.156	-14.0821733266822
490	411.752	-32.8901419738242
490	416.352	-18.0623130892064
490	420.954	-8.68610972916591
490	425.56	-10.8093514959377
490	430.168	-2.89314522547736
490	434.779	1.92242947622154
490	439.393	-10.827175819301
490	444.01	-5.03648942732134
490	448.63	-2.1659484213779
490	453.253	15.5722662679539
490	457.878	-18.478792713595
490	462.506	-13.2393472414421
490	467.137	2.33014580364492
490	471.771	-12.6721165432199
490	476.407	-1.7982870503276
490	481.047	5.13308303335205
490	485.688	-61.0615680437509
490	490.333	-123.956897072259
490	494.979	90.9471210639194
490	499.629	1.04812491497364
490	504.281	-21.2687386746265
490	508.936	-7.54687921998555
490	513.593	9.76887345830463
490	518.252	-2.01092316052993
490	522.914	14.2277980310246
490	527.579	6.5344239036922
490	532.245	-11.3970189434402
490	536.915	26.4198344056745
490	541.586	-0.590656774106666
490	546.26	-20.7678528228045
490	550.936	-10.025639482794
490	555.615	10.0257649505622
490	560.296	-4.45010146408597
490	564.979	-13.4537244612036
490	569.664	-0.307782704073087
490	574.351	-8.5173687438404
490	579.04	-20.5714507706361
490	583.732	10.7132727806575
490	588.426	-4.77492640694581
490	593.121	17.642822368835
490	597.819	7.1445257845443
490	602.519	-6.97689581573712
490	607.221	13.6983387312804
490	611.924	-0.650253839599003
490	616.63	23.7453483108832
490	621.338	1.31284736197032
490	626.047	-7.9453095538541
490	630.758	-12.384872172225
490	635.471	7.08062611781924
490	640.186	3.37896450821264
490	644.903	-4.78967816358715
490	649.621	-1.73171979816112
490	654.341	-0.700938212675262
490	659.063	-3.54702911932711
490	663.787	5.75489216963946
490	668.512	4.35985737204602
490	673.238	12.4104701910751
490	677.967	-25.3551618016373
490	682.696	37.5383370296993
490	687.428	-4.86609795726835
490	692.16	-21.4478137859795
490	696.895	-12.1243968882
490	701.63	16.0427008526443
490	706.367	27.0659706608128
490	711.106	19.146130348318
490	715.845	-16.2022692163065
490	720.586	-47.5555838028313
490	725.329	-4.81039090466449
490	730.072	-14.9313079981267
490	734.817	12.5945821387746
490	739.563	18.910368801129
490	744.31	7.06998722460227
490	749.058	5.88454467801485
490	753.808	-10.695482639236
490	758.558	-8.27318092893376
490	763.31	1.7753224253741
490	768.062	9.86103882688636
490	772.815	-10.3098966686901
490	777.57	-55.8009629014831
490	782.325	-48.3038925735348
